TILE_ID,NUMBER,ra,dec,CLASS_STAR,uJAVA,J0378,J0395,J0410,J0430,gSDSS,J0515,rSDSS,J0660,iSDSS,J0861,zSDSS,parallax,e_parallax,teff_pre,logg_pre,feh_pre,e_teff_pre,e_logg_pre,e_feh_pre
86013,4552,142.5024706,30.61628518,0.883,17.3345795,17.1912346,17.0563812,16.4652843,16.3797531,15.9712715,15.7920837,15.5145264,15.4912224,15.3882227,15.3752995,15.3632803,0.7313,0.0417,5484.345,4.2751555,-0.28193662,169.35875,0.12209892,0.14015242
86013,4705,142.0502121,30.59265074,0.884,16.8935795,16.698719,16.6521378,16.1190281,16.0627155,15.7414436,15.591403,15.3630896,15.3481808,15.2741604,15.2791519,15.2658768,0.6893,0.0438,5826.641,4.290063,-0.3205848,131.37892,0.14380834,0.11599395
86013,4727,142.5723718,30.59156749,0.973,17.3637276,17.2150631,17.0027065,16.040184,15.7012215,14.944129,14.8515949,13.8244019,13.6447096,13.354887,13.1780529,13.1315966,8.113,0.0225,4268.033,4.2224517,-0.36640486,104.81109,0.19882624,0.17817292
86013,4762,142.9291084,30.58905299,0.868,16.2903442,16.0153046,16.0010948,15.5132313,15.4648361,15.2007904,15.058671,14.8576908,14.8368711,14.7589731,14.7666426,14.7453556,0.6783,0.0324,5667.4487,3.8759496,-1.1855327,332.18777,0.45685634,0.52601975
86013,4820,142.5856365,30.61065506,0.98,15.7897606,15.4516182,15.3990316,14.9237394,14.8664255,14.6329136,14.5098085,14.3386154,14.3280811,14.2814894,14.3042126,14.3169403,0.7038,0.0247,6019.16,4.1300488,-0.5172678,161.57822,0.20582592,0.20823239
86013,4866,142.2404178,30.58228451,0.883,17.4614029,17.0950298,17.0585098,16.6551743,16.647625,16.4096546,16.2720413,16.116663,16.0841408,16.0318451,15.9824448,16.0530434,0.3776,0.058,5084.7524,3.3852966,-1.348647,275.8049,0.47434568,0.46507436
86013,4874,143.1227202,30.58041743,0.978,16.9099693,16.7847824,16.4442196,15.4547157,15.1908598,14.4374046,14.349659,13.4636459,13.3238173,13.1250267,13.0183811,12.9853764,3.2664,0.0197,4559.4893,4.4098063,0.05516166,78.90724,0.07133722,0.085942484
86013,4875,142.7865839,30.58139271,0.978,15.9593296,15.7130871,15.6462231,15.070879,14.9861279,14.6413593,14.5123873,14.2239761,14.1816902,14.0958548,14.0967188,14.0951033,1.034,0.0581,5881.885,4.3428044,-0.15746894,98.94967,0.1291423,0.1158606
86013,4958,143.0251167,30.57308771,0.812,16.0572662,15.8678265,15.7501955,15.1683731,15.0958862,14.7477207,14.5982571,14.3315859,14.2916489,14.2109547,14.2106552,14.1964073,1.5283,0.0361,5817.4033,4.3542995,-0.12379963,107.11996,0.098248884,0.123453595
86013,4966,142.1316983,30.57171485,0.788,15.8169994,15.5546541,15.4964399,14.9526033,14.8974209,14.5957623,14.4503803,14.2490501,14.2231531,14.1699419,14.1788654,14.1928234,0.8562,0.0318,5929.4766,4.212279,-0.21419746,137.11803,0.1253924,0.10324967
86013,4987,142.9425465,30.57023531,0.896,17.198864,17.1130009,16.9138813,16.1451797,15.9667444,15.4597874,15.3147173,14.8031845,14.7216959,14.5780802,14.5173187,14.4981871,1.3112,0.0317,5050.6978,4.0154166,-0.32400367,140.19434,0.28356525,0.120133415
86013,5038,142.8153361,30.56633642,0.825,17.1293831,16.8321304,16.800808,16.367487,16.3646107,16.0993462,15.9839096,15.7884693,15.7487106,15.6895409,15.6862783,15.6784039,0.4338,0.0433,5185.458,3.3924696,-1.3280389,342.77075,0.46474743,0.4633632
86013,5053,142.4070337,30.56488128,0.991,17.4911194,17.3026867,17.2754955,16.7953777,16.7151566,16.3840637,16.2338791,15.9633026,15.8968401,15.8305988,15.8256311,15.805069,0.6706,0.0569,4991.831,3.2574427,-1.4350053,135.33261,0.44578785,0.35223252
86013,5104,142.2230877,30.55879892,0.842,15.9027672,15.6490765,15.6420145,15.1410046,15.1202831,14.8089218,14.6877632,14.4386597,14.4024382,14.328661,14.3191509,14.321599,1.2906,0.0303,5956.7173,4.248901,-0.52825254,160.888,0.13509242,0.14118461
86013,5112,142.2102241,30.55914283,0.99,17.0643311,16.8872452,16.7691212,16.0679779,15.9770975,15.4985332,15.3603401,14.9350805,14.8623486,14.7342882,14.6653051,14.6661997,1.4897,0.0372,5199.0864,4.2317553,-0.34531796,164.40848,0.2251299,0.11957861
86013,5142,143.414416,30.5554806,0.687,17.6760998,17.5366249,17.3828926,16.8056984,16.6897659,16.2797508,16.1141739,15.7932968,15.7508631,15.651432,15.6198483,15.6081047,0.8375,0.0546,5167.2124,4.281194,-0.28190693,200.34535,0.21893094,0.1246131
86013,5149,143.3907135,30.55251351,0.999,13.6614046,13.4271297,13.3393478,12.8367949,12.7691507,12.4715385,12.3438177,12.1046982,12.0826187,12.0052986,12.0053997,11.9980869,1.3437,0.1894,5900.8823,4.0322304,-0.19417264,203.90169,0.2091006,0.16333438
86013,5177,142.5326956,30.60783514,0.999,16.8965816,16.83218,16.6368561,15.8075562,15.6699085,15.138916,15.0049934,14.5013304,14.4145365,14.2925014,14.2414713,14.2216206,2.0164,0.0272,4908.6333,4.343363,-0.39348018,147.58331,0.14193808,0.12214281
86013,5193,142.8464845,30.55187223,0.689,16.6407661,16.610466,16.3001671,15.4833136,15.3066444,14.7173233,14.5908165,14.0279789,13.9384975,13.7994165,13.7301311,13.7170296,2.5424,0.023,4974.2446,4.4164667,-0.054151274,92.42025,0.106382675,0.07844327
86013,5200,142.8112591,30.55185068,0.993,16.4058647,16.2009182,16.1873322,15.6022053,15.5709515,15.2148399,15.0764523,14.8064432,14.7494926,14.6790867,14.6562233,14.6482763,0.8709,0.0288,5786.574,4.269283,-0.44390324,146.95718,0.13041411,0.13900992
86013,5280,142.272471,30.54259992,0.868,16.9532337,16.8971062,16.6442871,15.8436079,15.6534195,15.1044464,14.993372,14.4326363,14.3407936,14.2167826,14.1541719,14.1271601,2.1488,0.0329,5013.82,4.3630586,-0.15173972,135.08919,0.11589968,0.113667555
86013,5306,142.4981275,30.54015798,0.905,15.0369215,14.7672148,14.7320995,14.1921635,14.1393929,13.7903061,13.6508827,13.3714409,13.3348465,13.2463036,13.2218418,13.2167568,1.2662,0.0189,5837.9688,4.2223897,-0.3955713,152.54349,0.14030842,0.12459692
86013,5332,142.5311919,30.53775393,0.982,15.3709478,15.1066418,15.0158949,14.3982716,14.315731,13.9290962,13.7704859,13.4804783,13.4318924,13.3613148,13.3450279,13.3318787,1.0023,0.0261,5734.2783,4.081808,-0.13643327,112.55854,0.17692588,0.12344237
86013,5345,142.6035356,30.53684886,0.999,15.7300062,15.4839716,15.4207554,14.8491726,14.7969475,14.4619217,14.3244209,14.0592709,14.0357628,13.9565449,13.9366503,13.9398327,0.7933,0.0261,5898.1143,4.219593,-0.21142185,118.80423,0.11871117,0.12215651
86013,5354,142.128781,30.53658345,0.909,17.5685997,17.3026505,17.1675568,16.9182625,16.8060665,16.6091537,16.5117149,16.336792,16.3184738,16.2392483,16.2808418,16.2981758,0.4289,0.0756,5074.8906,3.534865,-0.8446936,219.89954,0.43158838,0.32863152
86013,5378,142.6270271,30.53544059,0.959,17.2867432,17.1223679,17.0662937,16.3814201,16.3636932,15.9595308,15.7969255,15.4850998,15.4385662,15.3262205,15.3028507,15.2937164,0.9144,0.0403,5330.164,4.3096128,-0.38160866,225.4766,0.17489366,0.12801549
86013,5387,141.8818465,30.53203191,0.996,16.2541237,16.1169472,16.0080452,15.3580074,15.2834682,14.8641586,14.6946983,14.3820896,14.3279848,14.23388,14.210125,14.2042274,1.5285,0.0266,5550.7227,4.329798,-0.18497467,133.6552,0.1080281,0.14354427
86013,5399,142.0460525,30.53162918,0.917,17.1605644,16.9753342,16.9028358,16.3554478,16.3397617,15.9925184,15.867569,15.6049232,15.5647287,15.481596,15.4508858,15.4720879,0.7127,0.0637,5607.2104,4.2074156,-0.40212944,247.6043,0.19440159,0.16195221
86013,5421,143.0751993,30.52819581,0.996,14.2112961,13.8417759,13.6394634,13.3209305,13.2705917,13.1298599,13.0421143,12.9598389,12.9950905,12.9597607,13.0043182,13.0165014,1.1271,0.0276,6222.5454,3.9539306,-0.4338386,125.09161,0.35941228,0.2506945
86013,5432,142.5417475,30.52897298,0.962,17.0145187,16.7234154,16.6985168,16.0993156,16.0067101,15.6784611,15.5345669,15.2756567,15.248023,15.1757851,15.1723013,15.1701174,0.5199,0.0399,5687.879,4.0524626,-0.3992032,253.31639,0.37460598,0.2296664
86013,5480,142.6704485,30.52983901,0.917,16.6378288,16.6157303,16.2481766,15.2525311,14.9638634,14.2507334,14.2098694,13.3479404,13.2185411,13.0401773,12.9438896,12.9120512,4.3937,0.0188,4648.9336,4.4326615,0.031155325,64.7022,0.042716593,0.087362275
86013,5504,142.4336982,30.52315948,0.88,17.2139187,16.9359131,16.8890591,16.3863068,16.3102989,15.9687023,15.8308573,15.5684013,15.5514393,15.4517097,15.4949903,15.4516811,0.5213,0.0474,5439.365,3.5557632,-0.60612345,453.9011,0.5671077,0.30630195
86013,5533,142.8675569,30.51842544,0.984,16.3595314,16.1156769,15.8270617,14.8992414,14.6215954,13.9102859,13.7031994,13.0683489,12.947999,12.7487545,12.6282864,12.590786,0.2633,0.0195,4477.9487,2.3470175,-0.38364765,94.32061,0.22389734,0.12516804
86013,5604,143.3787154,30.51008925,0.979,17.6205788,17.4413433,17.3098564,16.6292458,16.5434074,16.0615101,15.9146156,15.5301704,15.4526138,15.3510437,15.3056126,15.3145285,1.0908,0.0491,5271.8384,4.195552,-0.23127426,219.37218,0.3102611,0.1393298
